spis_class_path,spis_domain,spis_family,family_id,current_project_mapping,mapping_status,evidence_code_paths,evidence_config_route_paths,evidence_test_paths,evidence_gate_artifacts,evidence_documentation_paths,key_difference,next_action,notes
Circ/Circ/AbstractComponentModel.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,聚合等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,继续维护 multi-patch circuit 场景与 family metadata。,family 已封板；当前结论属于 class 级聚合承载差异，不直接推翻 sealoff。
Circ/Circ/Circuit.java,Circ,Circ/Circ,circ_circuit,SurfaceCircuitCoupling 中的 CircuitAssembly/Circuit family 视图。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/ElecComponent.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,聚合等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,继续维护 multi-patch circuit 场景与 family metadata。,family 已封板；当前结论属于 class 级聚合承载差异，不直接推翻 sealoff。
Circ/Circ/EXP.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/PULSE.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/PWL.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/RCCabsCirc.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/RLCCirc.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/SIN.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
Circ/Circ/SurfaceComponent.java,Circ,Circ/Circ,circ_circuit,Tools/Coupling 的 SurfaceCircuitCoupling/CircuitAssembly + DensePlasmaSurfaceCharging 的电路装配。,已等价实现,Tools/Coupling/include/SurfaceCircuitCoupling.h | Tools/Coupling/src/SurfaceCircuitCoupling.cpp | Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp,Toolkit/Surface Charging/src/DensePlasmaSurfaceCharging.cpp | documentation/contracts/config_schema_v1.json | scripts/run/surface_reference_matrix.json,"Tools/Coupling/test/Coupling_test.cpp::GenericCircuitAssemblyAppliesNodeBranchAndSourceElements, CircuitExcitationSamplingSupportsAllWaveforms, SurfaceAssemblyAppliesDynamicExcitationOverrides | Toolkit/Surface Charging/test/SurfaceCharging_smoke_test.cpp::ScdatUnifiedRouteExportsCircFamilyMetadata",build_codex/surface_family_coverage_gate_round47/surface_family_coverage_gate.json | build_codex/surface_round47_sealoff/surface_round26_sealoff.json | scripts/run/surface_reference_matrix.json,Toolkit/Surface Charging/docs/surface_num_alignment_refactor_plan.md | documentation/contracts/surface_family_coverage_matrix_v1.json,当前项目以通用耦合内核承载电路元件和激励，不保持 SPIS 电路类的逐对象封装外形。,保持现有代码路径、测试和 gate 证据不回退。,
